epoch,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
72,0.015865251808382365,0.12595734122464783,0.03504654197112875,32.906519722416476,8.936838060466611,0.039369330662848506,0.1886536350065345,53.0,32.0,0.9827652526268157,0.9876438148062697,0.0,0.0
73,0.11559335716627069,0.3399902309865251,0.12317631903100221,108.21988149943044,3.025594899580289,0.01112351066022165,0.01528878626284903,84.0,59.0,0.0,0.0,2100.0,2200.0
74,0.25051994012303763,0.50051967006606,0.28371055418633095,359.7243741385665,21.697090166636368,0.07804708693034665,0.145762517855554,209.0,205.0,0.4791345597827238,0.29443882193349025,1850.0,2100.0
75,0.14229404980121632,0.37721883542741647,0.1789739428083672,896.7963345426197,25.675566747339303,0.0844591011425635,0.1775569690995099,216.0,122.0,0.0,0.0,3200.0,3000.0
76,0.19373450527192038,0.4401528203612018,0.22974359718778364,845.3944972540957,22.02250316285575,0.08310378552021037,0.17210643625068306,113.0,152.0,0.6379175809642569,0.5516271626924553,1750.0,1700.0
77,0.024397901305896523,0.1561982756175513,0.06190359351166513,643.8189259142764,17.52336924052542,0.06953717952589451,0.18864806056479272,87.0,90.0,0.7581088950097227,0.21402925669884706,1250.0,-1700.0
78,0.12562750455668653,0.3544397051074929,0.17969814933905603,210.819715151337,17.266918107224598,0.061667564668659275,0.14158338906697157,172.0,89.0,0.44536112860595056,0.4958822116072024,2600.0,2700.0
79,0.1993274899084148,0.44646107322857925,0.22458251565943266,199.09086996776014,15.374063881961845,0.050907496297886906,0.19110251397526903,156.0,87.0,0.0,0.0,2700.0,800.0
80,0.02177266440240894,0.14755563155098128,0.05741256124191525,48.47988707300278,7.519737648795002,0.028058722570130604,0.03581040114778916,70.0,65.0,0.6276861779747737,0.6067900519758169,1500.0,1650.0
81,0.038904322761513684,0.19724178756418145,0.067126877457168,30.902231402066544,3.9675559502639026,0.015620299016787019,0.036655073530062025,50.0,56.0,0.7984807065852645,0.8517049602980201,1000.0,650.0
82,0.2239135868314455,0.473195083270574,0.2292437275642873,455.90145640777945,10.70009365394321,0.04007525713087345,0.1733453022571877,144.0,155.0,0.0,0.0,1200.0,1200.0
83,0.15242088258718317,0.39041117118645974,0.18148330477344213,128.75542715003806,20.928237588131832,0.0868391601167296,0.21690750534965336,77.0,112.0,0.0,0.0,-600.0,50.0
84,0.22968484323124694,0.4792544660524792,0.2460820514398038,101.2456217319843,13.533624789558992,0.04885785122584474,0.1288170996631805,181.0,110.0,0.5990549142458796,0.6088082311899505,1850.0,1850.0
85,0.16699187613749186,0.4086463949889829,0.17896708885672175,69.65664118260678,24.008200809802293,0.10623097703452342,0.19135660243068175,149.0,123.0,0.9959568286204967,0.9865126392189798,0.0,0.0
86,0.15779243246221902,0.3972309560724328,0.1685776455547953,83.30112220046067,27.447210010451414,0.1043620152488647,0.2243168895159706,131.0,156.0,0.7101127428009177,0.8258013337763054,0.0,800.0
87,0.27516425997081856,0.5245610164421471,0.27870755624565646,474.06244660306396,30.675700485035886,0.12835021123445978,0.17343297408521666,206.0,143.0,0.0,0.0,650.0,550.0
88,0.1206798770433931,0.3473900934733072,0.1903315370221037,97.49629215349972,28.221609672735458,0.09252986777946051,0.17591074772531012,123.0,111.0,0.0,0.0,3700.0,3450.0
89,0.09542252645640768,0.30890536812494485,0.12897403119268658,236.20603678911704,16.495770103924563,0.06816433927241555,0.09376281468682189,122.0,114.0,0.0,0.0,800.0,450.0
90,0.01507685517428893,0.12278784619940579,0.05135681131315477,129.58629135141314,11.378680801056419,0.044447971879126635,0.10355888188521133,72.0,76.0,0.0,0.0,1650.0,1350.0
91,0.024857504281772896,0.1576626280441021,0.05517980907786749,80.00517528142674,3.5464052321231407,0.01364002012355054,0.04056314360508906,52.0,50.0,0.7718967436455124,0.7827352063889892,1050.0,1000.0
92,0.06256732161255628,0.25013460698703066,0.08262582747416342,144.58972729511075,0.7182762998137637,0.002943755327105589,0.007490642265454519,38.0,22.0,0.7635671370636513,0.8508234737198598,800.0,800.0
93,0.02206352214368099,0.14853794849694468,0.04955089758281802,122.8818052832239,0.610726796003001,0.002442907184012004,0.003662271188911864,53.0,39.0,0.0,0.0,1150.0,1100.0
94,0.10464571860883888,0.32348990495661356,0.11711105941310924,294.53710862979557,1.9385885155218814,0.007513908974891013,0.03575924921659641,69.0,69.0,0.0,0.0,1050.0,1250.0
95,0.14164571189116038,0.3763584885334199,0.1765667839696519,146.01863038422573,17.82985361421682,0.07652297688505073,0.15095644085829482,140.0,4.0,0.9660096566929123,0.8957244660966743,0.0,350.0
96,0.20595796138970035,0.45382591529098504,0.21282250121013946,84.55227084438076,36.42454325468582,0.1395576369911334,0.23095962799358044,45.0,194.0,0.37635828298515916,0.34820532572169577,-250.0,1850.0
97,0.19214268253535985,0.438340829190437,0.22023824259653976,152.49766464786913,26.116636387644657,0.10282140310096322,0.24121102441475342,159.0,133.0,0.7554061927188007,0.5528786629153128,1100.0,400.0
98,0.03760114619107303,0.19391014978869214,0.09357073453426402,102.4690444318414,25.034546244766712,0.10932116264090268,0.19442516921713382,199.0,199.0,0.9821415549891226,-0.8727788399630673,0.0,1700.0
99,0.16622960765307507,0.407712653290372,0.19670263191948945,84.14274315676529,14.819203262146878,0.053115423878662645,0.11602581856108186,134.0,168.0,0.3612563610162275,0.4988168986774298,2300.0,2100.0
100,0.25667401692554365,0.5066300592400175,0.28319092965356496,183.33310994698772,24.87511467412418,0.09351546869971497,0.1539407636100249,193.0,185.0,0.0,0.0,900.0,900.0
101,0.21398507733199992,0.46258521088768056,0.263819152973482,307.4893451940741,35.60531661527996,0.12235503991505141,0.22222155986297334,214.0,178.0,0.4632134143450992,0.3859628581016392,2400.0,3050.0
102,0.015175256747392792,0.12318789204866196,0.03971917516829198,25.344814403334215,18.187280696933673,0.08229538776893065,0.1746691094401469,217.0,42.0,-0.6885825836808671,-0.7007994428777302,8750.0,8850.0
103,0.1204459843627242,0.34705328749735853,0.1398612619434073,73.81546731063267,7.029834014827291,0.026729406900483994,0.06773615310992862,83.0,61.0,0.0,0.0,1350.0,1300.0
104,0.25916375141610615,0.5090812817380994,0.24777357091327035,130.93289547178628,19.315330212830006,0.07948695560835393,0.1375677976227009,158.0,138.0,0.6546570014872682,0.7908862468766543,800.0,700.0
105,0.08690895110900795,0.2948032413475265,0.1436242989818748,62.23867217243368,25.31607304960903,0.08669888030688025,0.1776117652033274,160.0,88.0,0.0,0.0,2800.0,3250.0
106,0.09026319742836285,0.30043834214088394,0.10505403998757724,369.07446941989537,7.4598971984086395,0.026737982789995125,0.08304332691260587,114.0,67.0,0.6668662645832011,0.15142550787409279,1850.0,2450.0
107,0.03781195661508966,0.19445296761708128,0.07144017388043458,327.8616252175072,0.8568178066324249,0.003386631646768478,0.009870874942826659,56.0,56.0,0.8349781254864334,0.8296741748760931,800.0,800.0
108,0.23229657749826835,0.48197155258196345,0.23383584359520235,89.6478971161606,16.202898019774622,0.0591346643057468,0.16731107903628753,92.0,187.0,0.0,0.0,1250.0,1750.0
109,0.32938075583447607,0.5739170287022995,0.32948183532957365,162.16408631535498,33.50878352153164,0.11634994278309597,0.16013689802449663,195.0,218.0,0.0,0.0,2400.0,2750.0
110,0.1948077551419562,0.44137031520250225,0.19710684721832858,78.08872861882965,17.797624619220176,0.05932541539740059,0.20226668077584453,111.0,112.0,0.0,0.0,3800.0,3250.0
111,0.14755024095481542,0.3841226899765431,0.19393895206793207,187.4965263608126,23.794713732803963,0.09997778879329396,0.1677994638414227,158.0,45.0,0.845447866928225,0.8884005704571598,400.0,400.0
112,0.12193256938325951,0.34918844394289383,0.1495298391701979,136.9368579654132,21.96437546434206,0.07872536008724752,0.2292963020043379,120.0,97.0,0.0,0.0,1750.0,1250.0
113,0.2313600699399377,0.4809990332006268,0.24373485604467632,217.39886133799013,12.599668270769104,0.0442093623535758,0.1441381963620212,180.0,90.0,0.0,0.0,2350.0,1900.0
114,0.06746705865023737,0.2597442177416802,0.12661657758000106,220.8787561430958,27.68082447239276,0.1235751092517534,0.1637436409976942,209.0,189.0,0.0,0.0,-50.0,1500.0
115,0.20978487721627873,0.45802279115375766,0.25541489572405923,154.01178903601416,30.711641539437153,0.117669124672173,0.1459705368615363,216.0,75.0,0.1370107616592755,0.42959293234796214,1700.0,1650.0
116,0.155604072607585,0.39446682066757527,0.17494870162996412,96.03798359244135,17.421711352964994,0.058462118634110716,0.22970649219944808,117.0,110.0,0.49888377062767697,0.4777579161363426,2300.0,2600.0
117,0.21554406882925367,0.4642672385913674,0.24457370069802947,225.13452975923585,15.791311236943244,0.05426567435375685,0.11135293310216056,158.0,162.0,0.4500817875814428,0.35227690980984544,2800.0,3150.0
118,0.08431176009643303,0.29036487407472866,0.12047657736495254,64.94361874887385,17.75022209705199,0.06988276416162201,0.11131518430384943,182.0,147.0,0.7329397666277325,0.5932226006832836,1000.0,1150.0
119,0.008843883524291234,0.09404192429066535,0.03607561219422359,27.570021476073762,9.788572826086305,0.03823661260189963,0.10523795133909362,50.0,56.0,0.5933077293176954,0.5864592257530192,1100.0,1200.0
120,0.24579627963113257,0.49577845821609934,0.23161161095323496,123.33707316394684,18.749747404088247,0.0689328948679715,0.1773480563092138,111.0,172.0,0.0,0.0,2200.0,2050.0
121,0.056417327557271336,0.23752332002831078,0.11211740216749036,91.55037233343309,21.823188372549563,0.09447267693744399,0.19290016912235472,45.0,206.0,0.0,0.0,400.0,100.0
122,0.23850157446342368,0.48836622985565215,0.24057211852851038,70.86523161949722,30.032043794624347,0.13650928997556522,0.158177251354622,157.0,216.0,0.7216322428045219,0.7959255369055448,0.0,0.0
123,0.21970823731343422,0.4687304527267609,0.24579051451689699,385.7622343472688,30.200346727102765,0.11705560746939056,0.24864271584072067,197.0,86.0,0.6142352187786843,0.5976968593108497,1500.0,1850.0
124,0.4237838160957094,0.6509868017830388,0.3370704366975461,124.0860952889707,19.413673965854976,0.07923948557491826,0.20819776868946993,44.0,63.0,0.8859844003048618,0.7823151524961939,350.0,850.0
125,0.05159523072050263,0.2271458357982876,0.07077496169602251,57.697570674321994,7.983805356805865,0.03232309861055006,0.0907997550003236,39.0,52.0,0.0,0.0,1000.0,1100.0
126,0.06596649087279562,0.2568394262429264,0.11293125813855784,66.26128968309317,14.132845575474242,0.0531309984040385,0.09417507149446913,162.0,62.0,0.0,0.0,1900.0,2050.0
127,0.04769309113871523,0.21838747935427807,0.08345810163676345,52.56034664586745,12.75346010700681,0.046208188793502934,0.06654610661922455,37.0,90.0,0.38669750815506754,0.6137791481882428,2300.0,1900.0
128,0.02902960224323132,0.17038075666938246,0.06289938592393095,136.76182872156792,6.057299405184483,0.023477904671257686,0.0513893555665009,54.0,73.0,0.0,0.0,1350.0,1500.0
129,0.09055855459399816,0.30092948442118156,0.12926591760204334,84.67391774070107,1.8139911304878835,0.0066936942084423745,0.014124356469636895,66.0,84.0,0.8994524965690316,0.5779636866863277,0.0,1850.0
130,0.03594212118420208,0.18958407418399384,0.07455129992691212,159.40770736711377,2.4758284514058766,0.008687117373353953,0.013948815993138203,75.0,69.0,0.0,0.0,2450.0,1950.0
131,0.0401537986204476,0.20038412766595962,0.07654269719334944,43.673954403438636,1.4161720095332149,0.005168510983697865,0.012908817310689227,70.0,74.0,0.6306708900491348,0.6397675747711956,1800.0,1800.0
132,0.06719842835610632,0.2592265965446183,0.07728406204772756,124.82876579722043,0.6573545968730536,0.0026830799872369538,0.005373372320508661,42.0,42.0,0.8814534116101134,0.8758349373437138,500.0,550.0
133,0.17345785809627828,0.4164827224462958,0.1984550416869556,1629.130821019772,14.16401292490391,0.05828811903252638,0.12718316179908484,140.0,4.0,0.9087458500314914,0.4852197699133137,300.0,600.0
134,0.24175959908395483,0.49169055216055846,0.25931331265962104,4425.149830801753,25.601171634924235,0.10535461578158122,0.19808788721474022,182.0,46.0,0.9103190594758599,0.9869174971698826,-200.0,0.0
135,0.0428087632664068,0.2069027869952621,0.106931824627655,144.57437375426,22.684399567991374,0.09221300637394868,0.17895923699743355,220.0,35.0,0.30687817846682236,0.7033600274869265,2150.0,1100.0
136,0.009378746215947156,0.09684392709895213,0.03934531726741426,147.22476161022556,8.750707582644313,0.0354279659216369,0.07872353931912744,58.0,31.0,0.7835549327121187,0.8247175326875013,850.0,500.0
137,0.17409289928649074,0.4172444119296156,0.197505350193007,86.27554182591841,7.243744627881353,0.026828683806967974,0.03929354858502333,82.0,82.0,0.643759707865414,0.6171142568092491,1600.0,1600.0
138,0.07923014824193383,0.28147850404948127,0.10899593794467317,68.54443622980092,5.4760236282841666,0.019912813193760606,0.038534866254770574,87.0,83.0,0.0,0.0,1200.0,950.0
